sim_ownership,player_name,team,opp,position,salary,ownership,pos,fp,fp_std,created_own,positive_ev
0.0,Austin Fort,DEN,LAC,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Jake Butt,DEN,LAC,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Andrew Beck,DEN,LAC,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Albert Okwuegbunam,DEN,LAC,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Troy Fumagalli,DEN,LAC,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
23.0,Melvin Gordon III,DEN,LAC,RB,5600,10.4,RB,17.6203247,9.987682782,11.0,12.0
0.0,Phillip Lindsay,DEN,LAC,RB,4200,0.0,RB,4.12984073,5.239113015,0.0,0.0
2.0,Royce Freeman,DEN,LAC,RB,4000,1.8,RB,3.67,3.52674587,2.0,0.0
2.0,Drew Lock,DEN,LAC,QB,5000,2.5,QB,18.9763041,9.250784714,1.0,1.0
7.5,Broncos,DEN,LAC,D,2300,3.72,D,5.4,2.7,5.0,2.5
17.5,Amari Cooper,DAL,PHI,WR,5700,8.6,WR,16.15127298,12.15560197,12.0,5.5
5.0,CeeDee Lamb,DAL,PHI,WR,5300,6.1,WR,13.1813478,9.312885726,7.000000000000001,-2.000000000000001
15.0,Michael Gallup,DAL,PHI,WR,4100,4.1,WR,12.31929341,9.659891438,7.000000000000001,7.999999999999999
0.0,Noah Brown,DAL,PHI,WR,3000,0.3,WR,1.81,2.305710203,0.0,0.0
0.0,Cedrick Wilson,DAL,PHI,WR,3000,0.0,WR,1.1,4.953685345,0.0,0.0
0.0,Malik Turner,DAL,PHI,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
2.5,Dalton Schultz,DAL,PHI,TE,3200,2.5,TE,8.950593524,7.323896806,2.0,0.5
0.0,Blake Bell,DAL,PHI,TE,2500,0.0,TE,1.06,1.852134471,0.0,0.0
0.0,Blake Jarwin,DAL,PHI,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Sean McKeon,DAL,PHI,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
1.0,Tony Pollard,DAL,PHI,RB,6500,2.6,RB,12.85974469,8.222225329,2.0,-1.0
0.0,Ezekiel Elliott,DAL,PHI,RB,6700,2.3,RB,11.06626682,7.687649745,0.0,0.0
0.0,Rico Dowdle,DAL,PHI,RB,4000,0.0,RB,0.56,0.0,0.0,0.0
0.0,Sewo Olonilua,DAL,PHI,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
7.5,Andy Dalton,DAL,PHI,QB,5500,3.1,QB,19.71458612,9.571811972,4.0,3.5
3.0,Cowboys,DAL,PHI,D,2400,4.65,D,5.8,2.9,3.0,0.0
0.0,Jarvis Landry,CLE,NYJ,WR,6900,0.0,WR,15.98827661,10.37391047,0.0,0.0
